Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-04-27,19.000000,19.299999,18.580000,19.000000,17.765455,1037000,BGS
2020-04-28,19.600000,20.549999,19.440001,20.459999,19.130589,1615200,BGS
2020-04-29,20.000000,20.660000,19.650000,19.740000,18.457373,1252000,BGS
2020-04-30,19.889999,19.959999,19.360001,19.420000,18.158163,833500,BGS
2020-05-01,19.340000,20.200001,19.299999,19.639999,18.363869,874300,BGS
2020-05-04,19.629999,19.809999,19.110001,19.719999,18.438669,1421200,BGS
2020-05-05,19.719999,20.200001,19.510000,19.530001,18.261017,1271000,BGS
2020-05-06,20.750000,22.240000,20.660000,21.000000,19.635502,2616900,BGS
2020-05-07,21.020000,21.090000,19.870001,20.660000,19.317595,1164000,BGS
2020-05-08,20.730000,21.030001,20.570000,20.969999,19.607450,1088300,BGS
2020-05-11,21.000000,22.020000,20.809999,21.559999,20.159115,1460900,BGS
2020-05-12,21.610001,24.680000,21.600000,23.500000,21.973063,3370000,BGS
2020-05-13,24.520000,25.200001,23.840000,24.860001,23.244694,2703100,BGS
2020-05-14,24.750000,25.040001,23.370001,23.719999,22.178768,1817400,BGS
2020-05-15,23.910000,24.820000,23.750000,23.990000,22.431225,1438400,BGS
2020-05-18,24.219999,24.670000,23.459999,23.740000,22.197468,1235900,BGS
2020-05-19,23.549999,23.980000,23.040001,23.049999,21.552301,847300,BGS
2020-05-20,23.260000,23.320000,22.299999,22.340000,20.888433,1153700,BGS
2020-05-21,22.290001,22.389999,21.910000,22.090000,20.654678,1052800,BGS
2020-05-22,22.150000,22.360001,21.920000,22.270000,20.822983,988100,BGS
2020-05-26,22.610001,23.040001,22.530001,22.820000,21.337244,1547200,BGS
2020-05-27,22.850000,23.980000,22.770000,23.930000,22.375122,1566700,BGS
2020-05-28,24.000000,24.049999,23.330000,23.389999,21.870207,977800,BGS
2020-05-29,23.400000,23.549999,22.940001,23.219999,21.711252,970100,BGS
2020-06-01,23.250000,24.520000,23.190001,24.170000,22.599529,1082700,BGS
2020-06-02,24.040001,24.370001,23.670000,24.059999,22.496674,699900,BGS
2020-06-03,24.750000,25.270000,23.410000,24.049999,22.487322,2087600,BGS
2020-06-04,24.270000,25.330000,23.860001,24.250000,22.674332,1936000,BGS
2020-06-05,24.360001,24.820000,23.320000,24.740000,23.132492,1701200,BGS
2020-06-08,24.930000,26.389999,24.870001,26.250000,24.544376,1940400,BGS
2020-06-09,26.000000,26.000000,25.129999,25.299999,23.656103,1189900,BGS
2020-06-10,25.410000,25.590000,25.129999,25.340000,23.693504,800200,BGS
2020-06-11,24.809999,24.920000,20.629999,21.870001,20.448975,4723600,BGS
2020-06-12,22.670000,23.420000,22.299999,23.240000,21.729956,1489100,BGS
2020-06-15,23.000000,24.670000,22.639999,24.320000,22.739780,1550100,BGS
2020-06-16,24.700001,24.830000,23.709999,24.340000,22.758482,1026400,BGS
2020-06-17,24.350000,24.559999,24.180000,24.320000,22.739780,583100,BGS
2020-06-18,24.360001,24.520000,23.990000,24.299999,22.721079,595100,BGS
2020-06-19,24.430000,24.690001,24.230000,24.360001,22.777184,1431700,BGS
2020-06-22,24.370001,24.400000,23.750000,24.059999,22.496674,983900,BGS
2020-06-23,24.250000,24.370001,23.910000,23.910000,22.356422,781100,BGS
2020-06-24,24.000000,24.530001,23.680000,24.330000,22.749132,886200,BGS
2020-06-25,24.299999,24.660000,24.120001,24.639999,23.038988,663900,BGS
2020-06-26,24.530001,24.760000,24.049999,24.299999,22.721079,1938300,BGS
2020-06-29,23.969999,24.730000,23.910000,24.459999,23.326656,978100,BGS
2020-06-30,24.500000,24.690001,23.959999,24.379999,23.250364,862700,BGS
2020-07-01,24.190001,24.740000,24.150000,24.170000,23.050097,760300,BGS
2020-07-02,24.459999,24.660000,24.230000,24.350000,23.221754,503500,BGS
2020-07-06,24.650000,25.230000,24.559999,24.850000,23.698589,805800,BGS
2020-07-07,24.700001,25.540001,24.620001,25.360001,24.184959,782200,BGS
2020-07-08,25.540001,25.590000,25.090000,25.459999,24.280325,800900,BGS
2020-07-09,25.500000,25.520000,24.299999,24.450001,23.317122,954800,BGS
2020-07-10,24.270000,25.000000,23.799999,24.969999,23.813026,638500,BGS
2020-07-13,25.170000,25.360001,24.809999,24.850000,23.698589,649000,BGS
2020-07-14,24.900000,25.700001,24.820000,25.650000,24.461521,521800,BGS
2020-07-15,25.990000,26.080000,25.360001,25.379999,24.204031,756400,BGS
2020-07-16,25.370001,25.709999,25.350000,25.530001,24.347080,407800,BGS
2020-07-17,25.730000,26.360001,25.639999,26.100000,24.890671,812700,BGS
2020-07-20,26.000000,26.059999,25.110001,25.700001,24.509205,646800,BGS
2020-07-21,25.900000,26.610001,25.840000,26.459999,25.233990,632800,BGS
2020-07-22,26.420000,26.450001,26.010000,26.270000,25.052794,433700,BGS
2020-07-23,26.250000,26.959999,26.200001,26.650000,25.415184,506700,BGS
2020-07-24,26.620001,26.950001,26.080000,26.200001,24.986036,637000,BGS
2020-07-27,26.410000,27.209999,26.340000,27.110001,25.853872,1203600,BGS
2020-07-28,26.959999,27.799999,26.650000,27.090000,25.834799,1576400,BGS
2020-07-29,27.400000,27.889999,26.990000,27.680000,26.397463,1282800,BGS
2020-07-30,27.900000,28.320000,27.129999,27.590000,26.311630,1251700,BGS
2020-07-31,28.500000,29.650000,28.250000,28.910000,27.570471,2325000,BGS
2020-08-03,29.240000,30.950001,29.160000,29.320000,27.961473,1992600,BGS
2020-08-04,29.450001,30.090000,29.290001,29.510000,28.142670,1805500,BGS
2020-08-05,29.850000,30.410000,29.709999,30.340000,28.934212,1411100,BGS
2020-08-06,30.230000,30.469999,29.180000,29.340000,27.980547,4022700,BGS
2020-08-07,29.440001,29.809999,29.219999,29.549999,28.180815,693000,BGS
2020-08-10,29.549999,29.670000,29.200001,29.270000,27.913790,580000,BGS
2020-08-11,29.469999,29.580000,28.549999,28.809999,27.475103,886800,BGS
2020-08-12,28.930000,29.780001,28.930000,29.340000,27.980547,707700,BGS
2020-08-13,29.299999,29.680000,29.150000,29.280001,27.923325,491500,BGS
2020-08-14,29.290001,29.690001,29.049999,29.170000,27.818424,588100,BGS
2020-08-17,29.350000,29.980000,29.200001,29.790001,28.409695,573100,BGS
2020-08-18,29.959999,30.230000,29.690001,30.010000,28.619503,705500,BGS
2020-08-19,29.889999,30.360001,29.629999,30.219999,28.819771,787500,BGS
2020-08-20,30.230000,30.490000,29.870001,29.920000,28.533672,553700,BGS
2020-08-21,29.740000,30.230000,29.610001,30.059999,28.667185,600800,BGS
2020-08-24,30.110001,30.840000,29.750000,30.500000,29.086798,937600,BGS
2020-08-25,30.790001,31.150000,30.059999,31.120001,29.678072,886000,BGS
2020-08-26,31.379999,31.530001,30.500000,31.180000,29.735291,766200,BGS
2020-08-27,31.180000,31.930000,31.020000,31.370001,29.916487,876700,BGS
2020-08-28,31.709999,31.709999,31.110001,31.350000,29.897415,600600,BGS
2020-08-31,31.350000,31.389999,30.600000,31.139999,29.697144,711900,BGS
2020-09-01,31.040001,31.059999,30.139999,30.530001,29.115410,848600,BGS
2020-09-02,30.520000,31.490000,30.490000,31.010000,29.573168,694100,BGS
2020-09-03,31.010000,31.440001,29.930000,30.459999,29.048649,863300,BGS
2020-09-04,30.750000,30.910000,29.549999,30.000000,28.609966,1056000,BGS
2020-09-08,30.000000,30.020000,28.049999,28.110001,26.807539,1616700,BGS
2020-09-09,28.590000,28.990000,28.150000,28.719999,27.389273,1016500,BGS
2020-09-10,28.680000,28.680000,26.530001,27.059999,25.806189,2109900,BGS
2020-09-11,27.230000,27.580000,26.280001,26.469999,25.243525,1533500,BGS
2020-09-14,26.639999,27.420000,26.160000,27.030001,25.777578,1095700,BGS
2020-09-15,27.209999,27.340000,26.110001,26.290001,25.071869,1544100,BGS
2020-09-16,26.350000,26.959999,25.879999,26.400000,25.176769,1115900,BGS
2020-09-17,26.610001,27.059999,26.100000,27.000000,25.748968,1099400,BGS
2020-09-18,27.320000,27.320000,26.830000,27.240000,25.977848,1825400,BGS
2020-09-21,27.000000,27.820000,26.930000,27.799999,26.511902,1045900,BGS
2020-09-22,27.969999,28.230000,27.530001,27.629999,26.349777,835100,BGS
2020-09-23,27.809999,28.010000,27.100000,27.120001,25.863411,924500,BGS
2020-09-24,27.059999,28.209999,26.799999,27.860001,26.569120,889200,BGS
2020-09-25,27.860001,28.120001,27.590000,27.940001,26.645414,755000,BGS
2020-09-28,28.150000,28.600000,28.020000,28.440001,27.122248,788000,BGS
2020-09-29,28.059999,28.080000,27.420000,27.809999,26.971918,612400,BGS
2020-09-30,27.570000,27.959999,27.400000,27.770000,26.933125,743600,BGS
2020-10-01,27.799999,27.950001,26.740000,27.809999,26.971918,1058600,BGS
2020-10-02,27.520000,28.330000,27.500000,28.190001,27.340467,611700,BGS
2020-10-05,28.219999,28.660000,27.820000,28.330000,27.476248,569500,BGS
2020-10-06,28.330000,28.700001,28.100000,28.200001,27.350166,639200,BGS
2020-10-07,28.320000,28.590000,28.030001,28.480000,27.621727,681000,BGS
2020-10-08,28.530001,28.969999,28.360001,28.510000,27.650824,447900,BGS
2020-10-09,28.750000,29.120001,28.700001,28.730000,27.864193,536100,BGS
2020-10-12,28.730000,29.150000,28.370001,29.100000,28.223043,604500,BGS
2020-10-13,28.799999,29.400000,28.780001,29.260000,28.378222,632700,BGS
2020-10-14,29.250000,29.379999,29.010000,29.020000,28.145454,501900,BGS
2020-10-15,28.770000,30.100000,28.650000,29.379999,28.494604,1048500,BGS
2020-10-16,29.420000,29.510000,28.450001,28.530001,27.670219,697500,BGS
2020-10-19,28.450001,28.969999,28.049999,28.530001,27.670219,683700,BGS
2020-10-20,28.670000,28.790001,27.910000,27.959999,27.117397,602100,BGS
2020-10-21,27.900000,28.330000,27.820000,28.030001,27.185289,417000,BGS
2020-10-22,28.080000,28.290001,27.950001,28.110001,27.262878,540000,BGS
2020-10-23,28.110001,28.280001,27.879999,28.180000,27.330767,413600,BGS
2020-10-26,28.000000,28.320000,27.840000,27.889999,27.049507,607600,BGS
2020-10-27,29.120001,29.260000,28.290001,28.740000,27.873892,1475400,BGS
2020-10-28,28.320000,28.459999,26.379999,26.790001,25.982656,1431700,BGS
2020-10-29,27.000000,27.139999,26.469999,26.950001,26.137835,995100,BGS
2020-10-30,26.700001,26.990000,26.360001,26.559999,25.759588,901200,BGS
2020-11-02,26.990000,28.030001,26.740000,28.000000,27.156193,1424200,BGS
2020-11-03,28.020000,28.950001,27.700001,28.730000,27.864193,1268100,BGS
2020-11-04,28.500000,28.930000,27.920000,28.030001,27.185289,1040400,BGS
2020-11-05,28.160000,28.459999,27.520000,28.200001,27.350166,989100,BGS
2020-11-06,28.490000,29.840000,28.209999,28.680000,27.815701,1343800,BGS
2020-11-09,27.799999,27.850000,25.260000,26.760000,25.953560,2333100,BGS
2020-11-10,26.950001,27.400000,26.360001,26.900000,26.089342,1505300,BGS
2020-11-11,27.150000,27.750000,26.790001,27.670000,26.836136,1265200,BGS
